id	name	no_alle	no_activity	no_bi	no_gg	x	y	prazision	noten	region1	region2	region3
328	Podůlšany	1	0	0	1	50.129	15.738	1			Ostböhmen	Ostböhmen
329	Pohled	1	0	1	0	49.604	15.648	1			Böhmischmährische Höhe	Böhmischmährische Höhe
330	Pohořelice	2	1	0	1	48.981	16.520	1			Brünner Teil	Brünner Teil
331	Police nad Metují	2	0	1	1	50.537	16.234	1			Nordostböhmen	Nordostböhmen
332	Polička	1	0	1	0	49.715	16.265	1			Ostböhmen	Ostböhmen
333	Pollen	0	0	0	0			2			Pollen	Pollen
334	Possendorf	1	0	0	1			1			Südostniederösterreich	Südostniederösterreich
335	Postoloprty	1	0	1	0	50.360	13.703	1			Nordwestböhmen	Nordwestböhmen
336	Pottschach	1	0	1	0	47.704	16.000	3	Druhý je na hraniciach SI-AT		Südostniederösterreich	Südostniederösterreich
337	Pottenburg	1	1	0	0	48.119	17.026	1			Westungarn	Westungarn
338	Pottschach	1	0	1	0	47.702	16.012	1			Südostniederösterreich	Südostniederösterreich
339	Prácheň	1	0	0	1	49.316	13.681	1			Südböhmen	Südböhmen
340	Prag	0	0	0	0			2			Prag	Prag
341	Praha	224	174	44	6	50.090	14.410	1			Prag	Prag
342	Přelouč	1	0	1	0	50.040	15.560	1			Ostböhmen	Ostböhmen
343	Prepolje	1	0	0	1	46.445	15.765	1			Südsteiermark	Südsteiermark
344	Přerov	2	0	1	1	49.455	17.451	1			Nordostmähren	Nordostmähren
345	Přešovice	1	0	0	1	49.050	16.061	1			Znaimer Teil	Znaimer Teil
346	Preussen	0	0	0	0			2			Preussen	Preussen
347	Příbor	1	0	1	0	49.641	18.145	1			Nordostmähren	Nordostmähren
348	Přibyslavice	1	0	1	0	49.261	15.778	1			Böhmischmährische Höhe	Böhmischmährische Höhe
349	Přimda	1	0	1	0	49.675	12.674	1			Südwestböhmen	Südwestböhmen
350	Přištpo	1	1	0	0	49.074	15.935	1			Znaimer Teil	Znaimer Teil
351	Probstdorf	1	0	0	1	48.170	16.616	1			Nordostniederösterreich	Nordostniederösterreich
352	Prudnik	1	0	0	1	50.318	17.576	1			Troppauer Teil	Troppauer Teil
353	Prüfening	1	0	1	0	49.009	12.045	1			Bayern	Bayern
354	Prunéřov	1	0	0	1	50.430	13.260	1			Nordwestböhmen	Nordwestböhmen
355	Ptuj	4	0	4	0	46.422	15.879	1			Südsteiermark	Südsteiermark
356	Puchheim	1	0	1	0	48.011	13.721	1			Oberösterreich	Oberösterreich
