id	name	no_alle	no_activity	no_bi	no_gg	x	y	prazision	noten	region1	region2	region3
564	Žatec	3	1	1	1	50.330	13.540	1			Nordwestböhmen	Nordwestböhmen
565	Zbraslav	3	3	0	0	49.976	14.394	1			Mittelböhmen	Mittelböhmen
566	Zbůch	1	0	0	1	49.678	13.226	1			Südwestböhmen	Südwestböhmen
567	Žďákov	1	0	0	1	49.505	14.167	2	zaniklé		Südböhmen	Südböhmen
568	Ždánice	1	0	0	1	49.969	14.959	1			Ostböhmen	Ostböhmen
569	Žďár nad Sázavou	6	0	6	0	49.564	15.939	1			Böhmischmährische Höhe	Böhmischmährische Höhe
570	Zduchovice	0	0	0	0	49.639	14.209	1			Mittelböhmen	Mittelböhmen
571	Železná	1	0	0	1	49.969	14.959	1			Mittelböhmen	Mittelböhmen
572	Zelking-Matzleinsdorf	1	0	1	0	48.183	15.255	1			Südwestniederösterreich	Südwestniederösterreich
573	Zhoř (Tachov)	1	0	0	1	49.660	12.969	1			Südwestböhmen	Südwestböhmen
574	Žiče	3	0	3	0	46.315	15.476	3	Na severe SI je ďalšia Žiče		Südsteiermark	Südsteiermark
575	Zlatá Koruna	5	0	5	0	48.855	14.370	1			Südböhmen	Südböhmen
576	Zlatníky	1	0	0	1	49.942	17.830	3			Troppauer Teil	Troppauer Teil
577	Zlíchov	2	0	0	2	50.046	14.408	1			Mittelböhmen	Mittelböhmen
578	Znaimer Teil	1	0	1	0			2			Znaimer Teil	Znaimer Teil
579	Znojmo	31	27	2	2	48.860	16.050	1			Znaimer Teil	Znaimer Teil
580	Zvíkov	3	2	1	0	49.439	14.192	1			Südböhmen	Südböhmen
581	Zwerndorf	1	0	0	1	48.342	16.840	1			Nordostniederösterreich	Nordostniederösterreich
582	Zwettl	18	2	15	1	48.607	15.169	1			Nordwestniederösterreich	Nordwestniederösterreich
