,p1,p2,p3,p4,p5,pall,geometry
Mailberg,,,,0.013718454822624924,,0.010081443296028163,POINT (16.183 48.673)
Marchegg,,,,0.010164915522780758,,0.006734246428306257,POINT (16.891 48.257)
Maribor,,,,0.012261129942220787,,0.007500957116713787,POINT (15.648 46.554)
Hartberg,,,,0.013758871886165223,,0.00880632904467705,POINT (15.97 47.281)
Milevsko,,,,0.013773259399933886,,0.009811746011909001,POINT (14.361 49.45)
Neuburg am Inn,,,,0.01439551673704468,,0.009320112604082347,POINT (13.405 48.518)
Přištpo,,,,0.014614157470285959,,0.010071340515687466,POINT (15.935 49.074)
Slovenj Gradec,,,,0.013683382083557839,,0.008300405127300705,POINT (15.079 46.516)
Kostanjevica na Krki,,,,0.010500150591762583,,0.005852288434254482,POINT (15.42 45.846)
Stična,,,,0.008940699185859772,,0.004872527469872919,POINT (14.806 45.957)
Uherský Ostroh,,,,0.014304373732856994,,0.009306849258383437,POINT (17.39 48.986)
Veveří,,,,0.015010196522392076,,0.009991765726805997,POINT (16.462 49.257)
Villach,,,,0.007787076285696668,,0.00471521678772813,POINT (13.856 46.61)
Völkermarkt,,,,0.013885715787111647,,0.008824152356932582,POINT (14.633 46.662)
Zbraslav,,,,0.019467767422058888,,0.014619667593323666,POINT (14.394 49.976)
Myšenec,,,,0.013112880640144278,,0.009346908704460623,POINT (14.208 49.223)
Jindřichův Hradec,,,,,0.08026755852842812,0.010136343136186502,POINT (15.003 49.144)
Hradec nad Moravicí,,,,,0.08130799823243484,0.008863542258837993,POINT (17.875 49.871)
Uničov,,,,,0.0851063829787234,0.0092063060043906,POINT (17.121 49.771)
