,no,sicherheit,datum_text,tag_post,monat_post,jahr_post,tag_ante,monat_ante,jahr_ante,lokalitat_name,lokalitat_agglomeration,lokalitat_politik,bi1_lokalitatname,bi2_lokalitatname,bi3_lokalitatname,bi4_lokalitatname,bi5_lokalitatname,gg1_lokalitatname,gg2_lokalitatname,gg3_lokalitatname,gg4_lokalitatname,gg5_lokalitatname,aussteller
317,272.0,1.0,12/22/1260,22.0,12.0,1260.0,22.0,12.0,1260.0,Graz,Graz,1.0,St. Lambrecht,,,,,St. Lambrecht,Dürnberg,,,,Ja
318,273.0,1.0,12/23/1260,23.0,12.0,1260.0,23.0,12.0,1260.0,Graz,Graz,1.0,Freising,,,,,,,,,,Ja
319,274.0,1.0,24.12.1260,24.0,12.0,1260.0,24.0,12.0,1260.0,Graz,Graz,1.0,Lavanttal,Pfannberg,,,,,,,,,M
320,275.0,1.0,12/25/1260,25.0,12.0,1260.0,25.0,12.0,1260.0,Graz,Graz,1.0,Gratwein,Seckau,,,,,,,,,Ja
321,276.0,1.0,12/25/1260,25.0,12.0,1260.0,25.0,12.0,1260.0,Graz,Graz,1.0,Rein,,,,,Söding,,,,,Ja
322,277.0,1.0,12/25/1260,25.0,12.0,1260.0,25.0,12.0,1260.0,Graz,Graz,1.0,Rein,,,,,Söding,,,,,Ja
323,278.0,2.0,21.-25. 12. 1260,21.0,12.0,1260.0,25.0,12.0,1260.0,Graz,Graz,1.0,St. Lambrecht,,,,,,,,,,Ja
327,282.0,1.0,01.09.1261,9.0,1.0,1261.0,9.0,1.0,1261.0,Havlíčkův Brod,Havlíčkův Brod,1.0,Havlíčkův Brod,,,,,Havlíčkův Brod,,,,,Ja
328,283.0,1.0,1/21/1261,21.0,1.0,1261.0,21.0,1.0,1261.0,Kravaře u České Lípy,Kravaře u České Lípy,1.0,Doksany,,,,,,,,,,Ja
329,284.0,1.0,1/30/1261,30.0,1.0,1261.0,30.0,1.0,1261.0,Most,Most,1.0,Most,,,,,Most,,,,,Ja
330,285.0,1.0,02.01.1261,1.0,2.0,1261.0,1.0,2.0,1261.0,Žatec,Žatec,1.0,Chomutov,Miletín,,,,,,,,,Ja
332,286.0,1.0,3/30/1261,30.0,3.0,1261.0,30.0,3.0,1261.0,Wien,Wien,1.0,Lilienfeld,,,,,Wetzleinsdorf,,,,,Ja
333,287.0,3.0,31.3.1261,31.0,3.0,1261.0,31.0,3.0,1261.0,Wien,Wien,1.0,,,,,,,,,,,-
334,288.0,1.0,04.12.1261,12.0,4.0,1261.0,12.0,4.0,1261.0,Wien,Wien,1.0,Tulln,,,,,,,,,,Ja
335,289.0,1.0,4/28/1261,28.0,4.0,1261.0,28.0,4.0,1261.0,Wien,Wien,1.0,Wien,,,,,Wien,,,,,Ja
336,290.0,1.0,5/23/1261,23.0,5.0,1261.0,23.0,5.0,1261.0,Písek,Písek,1.0,Olomouc,,,,,Hulín,,,,,Ja
340,291.0,3.0,21.8.1261,21.0,8.0,1261.0,21.0,8.0,1261.0,Olomouc,Olomouc,1.0,Vizovice,Střílky,,,,,,,,,M
341,292.0,1.0,8/26/1261,26.0,8.0,1261.0,26.0,8.0,1261.0,Olomouc,Olomouc,1.0,Olomouc,,,,,Vsisko,,,,,Ja
343,294.0,1.0,09.08.1261,8.0,9.0,1261.0,8.0,9.0,1261.0,Praha,Praha,1.0,Opatovice nad Labem,Přelouč,,,,,,,,,Ja
344,295.0,1.0,10.01.1261,1.0,10.0,1261.0,1.0,10.0,1261.0,Praha,Praha,1.0,Geras,,,,,Weikertschlag,,,,,Ja
345,296.0,1.0,10/13/1261,13.0,10.0,1261.0,13.0,10.0,1261.0,Jihlava,Jihlava,1.0,Olomouc,,,,,,,,,,Ja
348,297.0,1.0,25.10.1261,25.0,10.0,1261.0,25.0,10.0,1261.0,Bratislava,Bratislava,2.0,,,,,,,,,,,-
350,298.0,1.0,11.11.1261,11.0,11.0,1261.0,11.0,11.0,1261.0,Praha,Praha,1.0,Praha,,,,,Mikulovce,Vernéřov,Prunéřov,,,Ja
351,299.0,1.0,11/24/1261,24.0,11.0,1261.0,24.0,11.0,1261.0,Znojmo,Znojmo,1.0,Salzburg,,,,,,,,,,Ja
352,300.0,1.0,11/27/1261,27.0,11.0,1261.0,27.0,11.0,1261.0,Praha,Praha,1.0,Mainz,,,,,,,,,,Ja
354,301.0,1.0,12.02.1261,2.0,12.0,1261.0,2.0,12.0,1261.0,Wien,Wien,1.0,Klosterneuburg,,,,,Wien,,,,,Ja
355,302.0,1.0,12.02.1261,2.0,12.0,1261.0,2.0,12.0,1261.0,Wien,Wien,1.0,Klosterneuburg,,,,,Wien,,,,,Ja
356,303.0,2.0,12.04.1261,4.0,12.0,1261.0,4.0,12.0,1261.0,Znojmo,Znojmo,1.0,Brno,,,,,,,,,,Ja
357,304.0,3.0,13.12.1261,13.0,12.0,1261.0,13.0,12.0,1261.0,Herzogenbirbaum,Herzogenbirbaum,1.0,Regensburg,,,,,,,,,,Ja
358,305.0,1.0,16.12.1261,16.0,12.0,1261.0,16.0,12.0,1261.0,Wien,Wien,1.0,Wien,,,,,Eggendorf bei Wiener Neustadt,,,,,M
359,306.0,2.0,23.12.1261 oder Kurz vorher,18.0,12.0,1261.0,23.0,12.0,1261.0,Praha,Praha,1.0,,,,,,,,,,,-
361,308.0,1.0,25.12.1261,25.0,12.0,1261.0,25.0,12.0,1261.0,Praha,Praha,1.0,,,,,,,,,,,-
362,309.0,1.0,12/25/1261,25.0,12.0,1261.0,25.0,12.0,1261.0,Praha,Praha,1.0,Mainz,,,,,,,,,,Ja
363,310.0,1.0,12/25/1261 (in die coronationis nostre),25.0,12.0,1261.0,25.0,12.0,1261.0,Praha,Praha,1.0,Mainz,,,,,,,,,,Ja
365,312.0,1.0,1/13/1262,13.0,1.0,1262.0,13.0,1.0,1262.0,Praha,Praha,1.0,Břevnov,,,,,,,,,,Ja
366,313.0,1.0,1/13/1262,13.0,1.0,1262.0,13.0,1.0,1262.0,Praha,Praha,1.0,Praha,,,,,,,,,,Ja
367,314.0,1.0,1/13/1262,13.0,1.0,1262.0,13.0,1.0,1262.0,Praha,Praha,1.0,Strahov,,,,,,,,,,Ja
368,315.0,1.0,1/13/1262,13.0,1.0,1262.0,13.0,1.0,1262.0,Praha,Praha,1.0,Vyšehrad,,,,,,,,,,Ja
369,316.0,1.0,1/21/1262,21.0,1.0,1262.0,21.0,1.0,1262.0,Praha,Praha,1.0,Praha,,,,,Praha,,,,,Ja
370,317.0,3.0,28.1.1262,28.0,1.0,1262.0,28.0,1.0,1262.0,Praha,Praha,1.0,Opava,,,,,,,,,,Ja
371,318.0,3.0,30.1.1262+ (wahrscheinlich wurde die Urkunde einbischen später verfertigt,30.0,1.0,1262.0,30.0,1.0,1262.0,Praha,Praha,1.0,Praha,,,,,,,,,,Ja
372,319.0,1.0,02.06.1262,6.0,2.0,1262.0,6.0,2.0,1262.0,Praha,Praha,1.0,Passau,,,,,Niederhollabrunn,,,,,Ja
373,320.0,1.0,02.06.1262,6.0,2.0,1262.0,6.0,2.0,1262.0,Praha,Praha,1.0,Passau,,,,,Niederhollabrunn,,,,,Ja
374,321.0,1.0,2/16/1262,16.0,2.0,1262.0,16.0,2.0,1262.0,Praha,Praha,1.0,Přibyslavice,,,,,,,,,,Ja
375,322.0,3.0,(Vor um 16.2/wahrscheinlicher 25.12.1261-vor 29.3.1262.)1262,25.0,12.0,1261.0,26.0,3.0,1262.0,Praha,Praha,1.0,Marienthal,,,,,,,,,,Ja
377,323.0,2.0,(Kurz vor 29. 3.1262),25.0,3.0,1262.0,27.0,3.0,1262.0,Praha,Praha,1.0,,,,,,,,,,,-
378,324.0,3.0,(kurz vor 28.3.) 1262 ,24.0,3.0,1262.0,26.0,3.0,1262.0,Jihlava,Jihlava,1.0,Praha,Hněvkovice,,,,,,,,,Ja
379,325.0,3.0,3/29/1262,29.0,3.0,1262.0,29.0,3.0,1262.0,Wien,Wien,1.0,Böhmen,,,,,,,,,,Ja
380,326.0,1.0,05.01.1262,1.0,5.0,1262.0,1.0,5.0,1262.0,Wien,Wien,1.0,Mikulov,,,,,Mikulov,,,,,Ja
381,327.0,3.0,(um 1.5.)1262,25.0,4.0,1262.0,6.0,5.0,1262.0,Wien,Wien,1.0,Heiligenkreuz,,,,,Thallern,Maria Enzersdorf,,,,Ja
387,329.0,1.0,06.10.1262,10.0,6.0,1262.0,10.0,6.0,1262.0,Budyně nad Ohří,Budyně nad Ohří,1.0,Litoměřice,,,,,,,,,,Ja
388,330.0,1.0,06.10.1262,10.0,6.0,1262.0,10.0,6.0,1262.0,Budyně nad Ohří,Budyně nad Ohří,1.0,Litoměřice,,,,,Hrušovany,,,,,Ja
389,331.0,1.0,6/21/1262,21.0,6.0,1262.0,21.0,6.0,1262.0,Jihlava,Jihlava,1.0,Freising,Pillichsdorf,,,,Groß-Enzersdorf,,,,,Ja
391,332.0,1.0,7/15/1262,15.0,7.0,1262.0,15.0,7.0,1262.0,Praha,Praha,1.0,Vyšehrad,,,,,Budeč,,,,,Ja
393,334.0,1.0,7/25/1262,25.0,7.0,1262.0,25.0,7.0,1262.0,Wiener Neustadt,Wiener Neustadt,1.0,Seckau,,,,,Kumberg,Hainersdorf,,,,Ja
395,336.0,3.0,9/21/1262,21.0,9.0,1262.0,21.0,9.0,1262.0,Głubczyce,Głubczyce,1.0,Freising,,,,,Groß-Enzersdorf,,,,,Ja
400,339.0,1.0,12.01.1262,1.0,12.0,1262.0,1.0,12.0,1262.0,Linz,Linz,1.0,Kremsmünster,,,,,,,,,,Ja
401,340.0,1.0,12.01.1262,1.0,12.0,1262.0,1.0,12.0,1262.0,Linz,Linz,1.0,Mondsee,,,,,Bad Ischl,,,,,Ja
405,342.0,1.0,02.02.1263,2.0,2.0,1263.0,2.0,2.0,1263.0,Hradec Králové,Hradec Králové,1.0,Sedlec,Kouřim,Hradec Králové,,,Poboří,Podůlšany,,,,Ja
408,343.0,2.0,3/25/1263,25.0,3.0,1263.0,25.0,3.0,1263.0,Hradec Králové,Hradec Králové,1.0,Litomyšl,Litomyšl,,,,,,,,,Ja
417,348.0,1.0,07.02.1263,2.0,7.0,1263.0,2.0,7.0,1263.0,Plasy,Plasy,1.0,Plasy,,,,,,,,,,Ja
418,349.0,1.0,07.02.1263,2.0,7.0,1263.0,2.0,7.0,1263.0,Plasy,Plasy,1.0,Plasy,,,,,Stříbro,Rakovník,Plzeň,,,Ja
419,350.0,1.0,7/25/1263,25.0,7.0,1263.0,25.0,7.0,1263.0,Wiener Neustadt,Wiener Neustadt,1.0,Seckau,,,,,Arzwald,,,,,Ja
420,351.0,1.0,7/26/1263,26.0,7.0,1263.0,26.0,7.0,1263.0,Wiener Neustadt,Wiener Neustadt,1.0,Seckau,,,,,Würflach,,,,,Ja
427,354.0,1.0,13. 9. 1263,13.0,9.0,1263.0,13.0,9.0,1263.0,Písek,Písek,1.0,Grobniki,,,,,Grobniki,,,,,Ja
432,358.0,2.0,1/25/1264,25.0,1.0,1264.0,25.0,1.0,1264.0,Praha,Praha,1.0,Svibno,,,,,Südsteiermark,,,,,Ja
436,360.0,1.0,03.12.1264,12.0,3.0,1264.0,12.0,3.0,1264.0,Jihlava,Jihlava,1.0,Žďár nad Sázavou,,,,,,,,,,Ja
438,362.0,1.0,3/17/1264,17.0,3.0,1264.0,17.0,3.0,1264.0,Wien,Wien,1.0,Göttweig,,,,,Pellendorf,Hennersdorf bei Wien,,,,Ja
442,363.0,1.0,05.12.1264,12.0,5.0,1264.0,12.0,5.0,1264.0,Písek,Písek,1.0,Kvítkovice,,,,,České Budějovice,,,,,Ja
446,365.0,1.0,7/17/1264,17.0,7.0,1264.0,17.0,7.0,1264.0,Písek,Písek,1.0,Vyšší Brod,,,,,,,,,,Ja
449,366.0,1.0,28.9.1264,28.0,9.0,1264.0,28.0,9.0,1264.0,Praha,Praha,1.0,,,,,,,,,,,-
450,367.0,2.0,Kurz nach 28.9.-vor 4.10.1264,30.0,9.0,1264.0,1.0,10.0,1264.0,Čáslav,Čáslav,1.0,,,,,,,,,,,-
451,368.0,1.0,Um 5.10.1264,30.0,9.0,1264.0,10.0,10.0,1264.0,Pottendorf,Pottendorf,1.0,,,,,,,,,,,-
452,369.0,2.0,Nach 6.5.- vor 22.10.1264,9.0,10.0,1264.0,19.0,10.0,1264.0,Praha,Praha,1.0,,,,,,,,,,,-
453,370.0,1.0,10/22/1264,22.0,10.0,1264.0,22.0,10.0,1264.0,Písek,Písek,1.0,Doksy,Kravaře u České Lípy,,,,,,,,,Ja
454,371.0,1.0,11. 11.1264,11.0,11.0,1264.0,11.0,11.0,1264.0,Olomouc,Olomouc,1.0,,,,,,,,,,,-
455,372.0,2.0,11.11.1264,11.0,11.0,1264.0,15.0,11.0,1264.0,Olomouc,Olomouc,1.0,Tišnov,Lukov,,,,Lukov,,,,,Ja
457,374.0,3.0,12/14/1264,14.0,12.0,1264.0,14.0,12.0,1264.0,Brno,Brno,1.0,Ragogna,,,,,,,,,,Ja
465,381.0,1.0,01.01.1265,1.0,1.0,1265.0,1.0,1.0,1265.0,Praha,Praha,1.0,Ottensheim,,,,,,,,,,Ja
466,382.0,1.0,2.-3.2.1265,2.0,2.0,1265.0,3.0,2.0,1265.0,Praha,Praha,1.0,,,,,,,,,,,-
467,383.0,1.0,02.03.1265,3.0,2.0,1265.0,3.0,2.0,1265.0,Praha,Praha,1.0,Kroměříž,,,,,Lovešice,,,,,Ja
468,384.0,1.0,02.03.1265,3.0,2.0,1265.0,3.0,2.0,1265.0,Praha,Praha,1.0,Fulštejn,Krzanowice,,,,,,,,,Ja
472,386.0,1.0,04.04.1265,4.0,4.0,1265.0,4.0,4.0,1265.0,Wien,Wien,1.0,Freising,,,,,Neuhofen an der Ybbs,,,,,Ja
473,387.0,1.0,04.07.1265,7.0,4.0,1265.0,7.0,4.0,1265.0,Wien,Wien,1.0,Głubczyce,,,,,Opavice,,,,,Ja
474,388.0,1.0,04.11.1265,11.0,4.0,1265.0,11.0,4.0,1265.0,Wien,Wien,1.0,Lilienfeld,,,,,,,,,,Ja
475,389.0,3.0,(am wahrscheinlichsten nach 3.II. und vor 21.IV.) 1265,3.0,2.0,1265.0,21.0,4.0,1265.0,Wien,Wien,1.0,Maissau,Cvilín,Dědice,,,,,,,,M
476,390.0,1.0,4/21/1265,21.0,4.0,1265.0,21.0,4.0,1265.0,Graz,Graz,1.0,Garsten,,,,,,,,,,Ja
477,391.0,1.0,4/21/1265,21.0,4.0,1265.0,21.0,4.0,1265.0,Graz,Graz,1.0,Seckau,,,,,,,,,,Ja
478,392.0,1.0,4/23/1265,23.0,4.0,1265.0,23.0,4.0,1265.0,Graz,Graz,1.0,Freising,,,,,Sankt Peter am Kammersberg,,,,,Ja
479,393.0,1.0,4/26/1265,26.0,4.0,1265.0,26.0,4.0,1265.0,Neunkirchen,Neunkirchen,2.0,Garsten,,,,,Gaflenz,,,,,Ja
489,398.0,1.0,25.6.1265,25.0,6.0,1265.0,25.0,6.0,1265.0,Beroun,Beroun,1.0,Ostrov,,,,,Domažlice,,,,,Ja
490,399.0,1.0,07.11.1265,11.0,7.0,1265.0,11.0,7.0,1265.0,České Budějovice,České Budějovice,1.0,Melk,,,,,,,,,,Ja
492,400.0,1.0,8/25/1265,25.0,8.0,1265.0,25.0,8.0,1265.0,Praha,Praha,1.0,Praha,,,,,,,,,,Ja
500,406.0,2.0,Kurz vor 27.9.1265,23.0,9.0,1265.0,27.0,9.0,1265.0,Nižbor,Nižbor,1.0,,,,,,,,,,,-
501,407.0,1.0,9/27/1265,27.0,9.0,1265.0,27.0,9.0,1265.0,Praha,Praha,1.0,Polička,,,,,,,,,,Ja
505,408.0,1.0,11.05.1265,5.0,11.0,1265.0,5.0,11.0,1265.0,Freistadt,Freistadt,1.0,Freising,Freising,,,,,,,,,Ja
510,411.0,1.0,12/30/1265,30.0,12.0,1265.0,30.0,12.0,1265.0,Praha,Praha,1.0,Žatec,,,,,,,,,,Ja
515,414.0,1.0,1/21/1266,21.0,1.0,1266.0,21.0,1.0,1266.0,Praha,Praha,1.0,Passau,,,,,,,,,,Ja
516,415.0,1.0,1/22/1266,22.0,1.0,1266.0,22.0,1.0,1266.0,Praha,Praha,1.0,,,,,,,,,,,Ja
518,417.0,1.0,3/15/1266,15.0,3.0,1266.0,15.0,3.0,1266.0,Eggenburg,Eggenburg,1.0,Passau,,,,,Eferding,Mautern an der Donau,,,,Ja
522,419.0,1.0,05.04.1266,4.0,5.0,1266.0,4.0,5.0,1266.0,Cheb,Cheb,1.0,Cheb,,,,,,,,,,Ja
523,420.0,1.0,13.5.1266,13.0,5.0,1266.0,13.0,5.0,1266.0,Litoměřice,Litoměřice,1.0,,,,,,,,,,,-
529,422.0,3.0,7. 6. (1266),7.0,6.0,1266.0,7.0,6.0,1266.0,Stříbro,Stříbro,1.0,Böhmisch Bruck,,,,,,,,,,Ja
532,424.0,1.0,7/24/1266,24.0,7.0,1266.0,24.0,7.0,1266.0,Domažlice,Domažlice,1.0,Regensburg,,,,,,,,,,Ja
534,426.0,3.0,Kurz nach 7.8.1266,9.0,8.0,1266.0,11.0,8.0,1266.0,Cham,Cham,2.0,,,,,,,,,,,-
535,427.0,3.0,Sehr kurz nach 7.8.1266,8.0,8.0,1266.0,9.0,8.0,1266.0,Nittenau,Nittenau,2.0,,,,,,,,,,,-
536,428.0,3.0,Nach 7.8.1266,10.0,8.0,1266.0,13.0,8.0,1266.0,Regenstauf,Regenstauf,2.0,,,,,,,,,,,-
537,429.0,3.0,Länger nach 7.8.1266,12.0,8.0,1266.0,17.0,8.0,1266.0,Regensburg,Regensburg,2.0,,,,,,,,,,,-
539,431.0,3.0,Kurz vor 6.9.1266,1.0,9.0,1266.0,6.0,9.0,1266.0,Cheb,Cheb,2.0,,,,,,,,,,,-
540,432.0,1.0,09.06.1266,6.0,9.0,1266.0,6.0,9.0,1266.0,Praha,Praha,1.0,Spital am Pyhrn,Kremsmünster,,,,Windischgarsten,,,,,Ja
544,434.0,3.0,30.XI.1266  und weitere Tage vor 3.XII.1266,30.0,11.0,1266.0,3.0,12.0,1266.0,Ried im Innkreis,Ried im Innkreis,2.0,Ried im Innkreis,,,,,,,,,,M
545,435.0,1.0,12.04.1266,4.0,12.0,1266.0,4.0,12.0,1266.0,Freistadt,Freistadt,1.0,Freising,,,,,,,,,,Ja
546,436.0,1.0,12.04.1266,4.0,12.0,1266.0,4.0,12.0,1266.0,Linz,Linz,1.0,Freising,,,,,,,,,,Ja
547,437.0,1.0,12.04.1266,4.0,12.0,1266.0,4.0,12.0,1266.0,Linz,Linz,1.0,Freising,Pottendorf,,,,Hernstein,,,,,Ja
548,438.0,3.0,(5.-31.) 12. 1266,5.0,12.0,1266.0,31.0,12.0,1266.0,Graz,Graz,1.0,Waidhofen,Freising,,,,,,,,,Ja
549,439.0,3.0,(3.I.1267 oder vorige Tage),1.0,1.0,1266.0,3.0,1.0,1266.0,Graz,Graz,1.0,Lavanttal,Lavanttal,,,,,,,,,M
550,440.0,2.0,Zwischen 1.-14.1.1267,1.0,1.0,1267.0,14.0,1.0,1267.0,Graz,Graz,1.0,,,,,,,,,,,-
551,441.0,2.0,14.1. (oder ein par Tagen früher 1267),9.0,1.0,1267.0,14.0,1.0,1267.0,Graz,Graz,1.0,Judenburg,,,,,,,,,,Ja
552,442.0,3.0,Um 14.1.1267,14.0,1.0,1267.0,15.0,1.0,1267.0,Lilienfeld,Lilienfeld,1.0,,,,,,,,,,,-
553,443.0,3.0,(um 14.1 oder 15.1.1267),14.0,1.0,1267.0,15.0,1.0,1267.0,Wilhelmsburg,Wilhelmsburg,1.0,Lilienfeld,Altenburg (bei Wilhelmsburg),Hohenberg,Arnstein,,Türnitz,Stranzendorf,,,,M
554,444.0,2.0,1/15/1267 (wahrscheinlicher aber ein par Tagen später),15.0,1.0,1267.0,16.0,1.0,1267.0,Wien,Wien,1.0,Admont,,,,,,,,,,Ja
555,445.0,1.0,Kurz vor 19. 1. 1267,16.0,1.0,1267.0,17.0,1.0,1267.0,Wien,Wien,1.0,,,,,,,,,,,-
556,446.0,1.0,1/19/1267,19.0,1.0,1267.0,19.0,1.0,1267.0,Laa an der Thaya,Laa an der Thaya,1.0,Lilienfeld,,,,,Straning-Grafenberg,,,,,Ja
558,447.0,1.0,1/27/1267,27.0,1.0,1267.0,27.0,1.0,1267.0,Havlíčkův Brod,Havlíčkův Brod,1.0,Olomouc,,,,,Olomouc,,,,,Ja
559,448.0,1.0,03.01.1267,1.0,3.0,1267.0,1.0,3.0,1267.0,Praha,Praha,1.0,Praha,,,,,Drchkov,Vyšínek,,,,Ja
566,451.0,1.0,08.07.1267,7.0,8.0,1267.0,7.0,8.0,1267.0,Budyně nad Ohří,Budyně nad Ohří,1.0,Olomouc,,,,,,,,,,Ja
567,452.0,1.0,9/19/1267,19.0,9.0,1267.0,19.0,9.0,1267.0,Praha,Praha,1.0,,,,,,,,,,,Ja
571,454.0,1.0,11.05.1267,5.0,11.0,1267.0,5.0,11.0,1267.0,Brno,Brno,1.0,Zwettl,,,,,Krems an der Donau,Eggenburg,,,,Ja
576,459.0,1.0,11/15/1267,15.0,11.0,1267.0,15.0,11.0,1267.0,Brno,Brno,1.0,Střílky,,,,,,,,,,Ja
578,460.0,1.0,12.01.1267,1.0,12.0,1267.0,1.0,12.0,1267.0,Praha,Praha,1.0,Marienthal,Temritz,,,,Oberseifersdorf,,,,,Ja
580,462.0,1.0,12.11.1267,11.0,12.0,1267.0,11.0,12.0,1267.0,Praha,Praha,1.0,Vyšehrad,,,,,,,,,,Ja
581,463.0,1.0,12.11.1267,11.0,12.0,1267.0,11.0,12.0,1267.0,Praha,Praha,1.0,Lilienfeld,,,,,,,,,,Ja
582,464.0,3.0,Nach 11.12.1267,14.0,12.0,1267.0,17.0,12.0,1267.0,Wrocław,Wrocław,2.0,,,,,,,,,,,-
584,465.0,3.0,Später nach 11. 12.1267 - vor 3.1.1268,8.0,12.0,1267.0,31.0,12.0,1267.0,Kalisz,Kalisz,2.0,,,,,,,,,,,-
585,466.0,3.0,Kurz vor 3.1.1268,30.0,12.0,1267.0,1.0,1.0,1268.0,Toruń,Toruń,2.0,,,,,,,,,,,-
587,468.0,1.0,3.1.1268,1.0,3.0,1268.0,1.0,3.0,1268.0,Chełmno,Chełmno,2.0,,,,,,,,,,,M
588,469.0,1.0,(3.1.1268),1.0,3.0,1268.0,1.0,3.0,1268.0,Chełmno,Chełmno,2.0,,,,,,,,,,,-
589,470.0,3.0,Später nach 3.1. - vor 16.2.1268,4.0,3.0,1268.0,12.0,2.0,1268.0,Praha,Praha,1.0,,,,,,,,,,,-
590,471.0,1.0,2/16/1268,16.0,2.0,1268.0,16.0,2.0,1268.0,Praha,Praha,1.0,Olomouc,,,,,,,,,,Ja
591,472.0,3.0,03.04.1268,4.0,3.0,1268.0,4.0,3.0,1268.0,Praha,Praha,1.0,Vyšehrad,,,,,,,,,,Ja
593,473.0,1.0,3/27/1268,27.0,3.0,1268.0,27.0,3.0,1268.0,Písek,Písek,1.0,Zlatá Koruna,,,,,Mokrá,Dolní Vltavice,,,,Ja
596,474.0,1.0,16.4.1268,16.0,4.0,1268.0,16.0,4.0,1268.0,Traiskirchen,Traiskirchen,1.0,Göttweig,Hohenberg,,,,Sankt Veit an der Gölsen,,,,,M
598,475.0,1.0,4/24/1268,24.0,4.0,1268.0,24.0,4.0,1268.0,Praha,Praha,1.0,Litomyšl,,,,,,,,,,Ja
599,476.0,3.0,05.11.1268,11.0,5.0,1268.0,11.0,5.0,1268.0,Praha,Praha,1.0,Mělník,,,,,,,,,,Ja
606,482.0,2.0,(um 14.-15.8.1268),9.0,8.0,1268.0,19.0,8.0,1268.0,Znojmo,Znojmo,1.0,Heiligenkreuz,Seefeld,,,,Ladendorf,,,,,M
607,483.0,1.0,8/15/1268,15.0,8.0,1268.0,15.0,8.0,1268.0,Znojmo,Znojmo,1.0,Mailberg,,,,,Marchegg,,,,,Ja
608,484.0,1.0,23.8.1268,23.0,8.0,1268.0,23.0,8.0,1268.0,Brno,Brno,1.0,Böhmen,Mähren,Oberösterreich,Niederösterreich,Steiermark,,,,,,Ja
610,486.0,1.0,9/14/1268,14.0,9.0,1268.0,14.0,9.0,1268.0,Velehrad,Uherské Hradiště,1.0,St. Pölten,Perchtoldsdorf,,,,Pichel (Dürnstein),,,,,Ja
611,487.0,1.0,9/16/1268,16.0,9.0,1268.0,16.0,9.0,1268.0,Vracov,Vracov,1.0,Melk,,,,,,,,,,Ja
613,489.0,3.0,16.IX.1268 und kurz danach,16.0,9.0,1268.0,20.0,9.0,1268.0,Velehrad,Velehrad,1.0,Pfannberg,Ptuj,Liechtenstein,Wildon,Stubenberg,Pfannberg,Sankt Peter am Kammersberg,Rabenstein,Eppenstein,Stubenberg,M
615,491.0,1.0,11/20/1268,20.0,11.0,1268.0,20.0,11.0,1268.0,Praha,Praha,1.0,Vyšehrad,,,,,Prácheň,Dolní Bukovsko,Písek,Doudleby,,Ja
618,492.0,2.0,4.12.1268,4.0,12.0,1268.0,4.0,12.0,1268.0,Poděbrady,Poděbrady,1.0,,,,,,,,,,,-
620,493.0,1.0,12/30/1268,30.0,12.0,1268.0,30.0,12.0,1268.0,Vyškov,Vyškov,1.0,Göttweig,,,,,Sankt Veit an der Gölsen,,,,,Ja
622,495.0,3.0,"(nach 25.12.1268 - Anfang Januars, vor 22.1) 1269",25.0,12.0,1268.0,22.0,1.0,1269.0,Vyškov,Vyškov,1.0,St. Pölten,Perchtoldsdorf,,,,Pichel (Dürnstein),,,,,Ja
623,496.0,2.0,2/24/1269,24.0,2.0,1269.0,24.0,2.0,1269.0,Poděbrady,Poděbrady,1.0,Mailberg,,,,,Michelstetten,,,,,Ja
624,497.0,1.0,(2/24/)1269,24.0,2.0,1269.0,24.0,2.0,1269.0,Poděbrady,Poděbrady,1.0,Pohled,,,,,,,,,,Ja
626,499.0,1.0,03.03.1269,3.0,3.0,1269.0,3.0,3.0,1269.0,Poděbrady,Poděbrady,1.0,Seckau,,,,,,,,,,Ja
627,500.0,1.0,03.04.1269,4.0,3.0,1269.0,4.0,3.0,1269.0,Litoměřice,Litoměřice,1.0,Melk,,,,,,,,,,Ja
628,501.0,1.0,03.05.1269,5.0,3.0,1269.0,5.0,3.0,1269.0,Praha,Praha,1.0,Waldhausen im Strudengau,,,,,Machland,,,,,Ja
629,502.0,1.0,03.05.1269,5.0,3.0,1269.0,5.0,3.0,1269.0,Praha,Praha,1.0,Waldhausen im Strudengau,Stein an der Donau,,,,,,,,,Ja
630,503.0,3.0,03.05.(1269),5.0,3.0,1269.0,5.0,3.0,1269.0,Praha,Praha,1.0,Seckau,,,,,,,,,,Ja
631,504.0,1.0,03.05.1269,5.0,3.0,1269.0,5.0,3.0,1269.0,Praha,Praha,1.0,Waldsassen,,,,,,,,,,Ja
632,505.0,1.0,03.07.1269,7.0,3.0,1269.0,7.0,3.0,1269.0,Litoměřice,Litoměřice,1.0,Molln,,,,,,,,,,Ja
633,506.0,1.0,03.11.1269,11.0,3.0,1269.0,11.0,3.0,1269.0,Praha,Praha,1.0,Seckau,,,,,,,,,,Ja
635,508.0,2.0,17.3.1269,17.0,3.0,1269.0,17.0,3.0,1269.0,Praha,Praha,1.0,Pfannberg,Ptuj,Liechtenstein,Wildon,Stubenberg,,,,,,M
636,509.0,1.0,3/18/1269,18.0,3.0,1269.0,18.0,3.0,1269.0,Křivoklát,Křivoklát,1.0,Plasy,,,,,Ledce,Plzeň,Stříbro,Rakovník,,Ja
637,510.0,3.0,04.10.1269,10.0,4.0,1269.0,10.0,4.0,1269.0,Praha,Praha,1.0,Litomyšl,Olomouc,,,,Svitavy ,,,,,Ja
