,id,name,no_alle,no_activity,no_reise,no_bi,no_gg,x,y,prazision,typ,noten,region0,region1,region2,Region2shortcut,region3,geometry
456,458.0,Rettenbach in Oststeiermark,1.0,0.0,0.0,0.0,1.0,46.986,15.605,2.0,gemeinde,,Steiermark,Steiermark,Mittelsteiermark,MS,Mittelsteiermark,POINT (15.605 46.986)
457,459.0,Retz,1.0,0.0,0.0,0.0,1.0,48.757,15.952,1.0,gemeinde,,Niederösterreich,Niederösterreich,Nordostniederösterreich,NONÖ,Nordostniederösterreich,POINT (15.952 48.757)
458,460.0,Řevnice,1.0,0.0,0.0,0.0,1.0,49.913,14.233,1.0,gemeinde,,Böhmen,Böhmen,Mittelböhmen,MB,Mittelböhmen,POINT (14.233 49.913)
459,461.0,Rheinland,0.0,0.0,0.0,0.0,0.0,,,2.0,gemeinde,,Ausland,Rheinland,Rheinland,Rh,Rheinland,POINT (nan nan)
460,462.0,Ried am Riederberg,1.0,0.0,0.0,0.0,1.0,48.255,16.065,1.0,gemeinde,,Niederösterreich,Niederösterreich,Südostniederösterreich,SONÖ,Südostniederösterreich,POINT (16.065 48.255)
461,463.0,Ried im Innkreis,3.0,1.0,1.0,1.0,0.0,48.209,13.488,1.0,gemeinde,BUrg,Oberösterreich,Oberösterreich,Oberösterreich,OÖ,Oberösterreich,POINT (13.488 48.209)
462,464.0,Rinchnach,1.0,0.0,0.0,1.0,0.0,48.95,13.199,1.0,gemeinde,,Ausland,Bayern,Bayern,Ba,Bayern,POINT (13.199 48.95)
463,465.0,Rohr,2.0,1.0,1.0,0.0,0.0,48.776,11.99,3.0,gemeinde,,Ausland,Bayern,Bayern,Ba,Bayern,POINT (11.99 48.776)
464,466.0,Rohr im Kremstal,1.0,0.0,0.0,1.0,0.0,48.067,14.19,1.0,gemeinde,,Oberösterreich,Oberösterreich,Oberösterreich,OÖ,Oberösterreich,POINT (14.19 48.067)
465,467.0,Röhrenbach,2.0,0.0,0.0,0.0,2.0,48.663,15.489,3.0,gemeinde,,Niederösterreich,Niederösterreich,Nordwestniederösterreich,NWNÖ,Nordwestniederösterreich,POINT (15.489 48.663)
466,468.0,Rossatz,1.0,0.0,0.0,0.0,1.0,48.398,15.505,1.0,gemeinde,,Niederösterreich,Niederösterreich,Südwestniederösterreich,SWNÖ,Südwestniederösterreich,POINT (15.505 48.398)
467,469.0,Roštín,1.0,0.0,0.0,0.0,1.0,49.189,17.286,1.0,gemeinde,,Mähren,Mähren,Olmützer Teil,OT,Olmützer Teil,POINT (17.286 49.189)
468,470.0,Rottenmann,1.0,0.0,0.0,0.0,1.0,47.527,14.36,1.0,gemeinde,,Steiermark,Steiermark,Nordsteiermark,NS,Nordsteiermark,POINT (14.36 47.527)
469,471.0,Rouchovany,1.0,0.0,0.0,1.0,0.0,49.07,16.108,1.0,gemeinde,,Mähren,Mähren,Znaimer Teil,ZT,Znaimer Teil,POINT (16.108 49.07)
470,472.0,Rožmberk nad Vltavou,6.0,0.0,0.0,6.0,0.0,48.654,14.365,1.0,gemeinde,,Böhmen,Böhmen,Südböhmen,SB,Südböhmen,POINT (14.365 48.654)
471,473.0,Rožnov u Českých Budějovic,1.0,0.0,0.0,0.0,1.0,48.948,14.467,1.0,gemeinde,,Böhmen,Böhmen,Südböhmen,SB,Südböhmen,POINT (14.467 48.948)
472,474.0,Rozvadovice,1.0,0.0,0.0,0.0,1.0,49.676,17.092,1.0,gemeinde,,Mähren,Mähren,Olmützer Teil,OT,Olmützer Teil,POINT (17.092 49.676)
473,475.0,Rudeč,1.0,0.0,0.0,0.0,1.0,50.236,14.585,1.0,gemeinde,,Böhmen,Böhmen,Mittelböhmen,MB,Mittelböhmen,POINT (14.585 50.236)
474,477.0,Russdorf bei Ostritz,1.0,0.0,0.0,0.0,1.0,51.016,14.931,2.0,gemeinde,,Böhmen,Böhmen,Nordböhmen,NB,Nordböhmen,POINT (14.931 51.016)
475,478.0,Ruzyně,1.0,0.0,0.0,0.0,1.0,50.09,14.312,1.0,gemeinde,,Böhmen,Böhmen,Mittelböhmen,MB,Mittelböhmen,POINT (14.312 50.09)
476,479.0,Rýzmburk,3.0,0.0,0.0,3.0,0.0,50.634,13.665,1.0,gemeinde,,Böhmen,Böhmen,Nordwestböhmen,NWB,Nordwestböhmen,POINT (13.665 50.634)
477,480.0,Sadská,8.0,4.0,4.0,0.0,0.0,50.134,14.985,1.0,gemeinde,,Böhmen,Böhmen,Ostböhmen,OB,Ostböhmen,POINT (14.985 50.134)
478,481.0,Salzburg,23.0,1.0,2.0,20.0,0.0,47.797,13.048,1.0,gemeinde,,Ausland,Salzburg,Salzburg,Sa,Salzburg,POINT (13.048 47.797)
479,482.0,Salzburg Kreis,0.0,0.0,0.0,0.0,0.0,,,2.0,gemeinde,,Ausland,Salzburg,Salzburg,Sa,Salzburg,POINT (nan nan)
480,483.0,Sankt Georgen an der Stiefing,2.0,0.0,0.0,0.0,2.0,46.878,15.576,1.0,gemeinde,,Steiermark,Steiermark,Mittelsteiermark,MS,Mittelsteiermark,POINT (15.576 46.878)
481,484.0,Sankt Peter am Kammersberg,2.0,0.0,0.0,0.0,2.0,47.186,14.189,1.0,gemeinde,,Steiermark,Steiermark,Nordsteiermark,NS,Nordsteiermark,POINT (14.189 47.186)
482,485.0,"Sankt Peter in der Au-Markt, Austria",2.0,0.0,0.0,0.0,2.0,48.044,14.621,1.0,gemeinde,,Oberösterreich,Oberösterreich,Oberösterreich,OÖ,Oberösterreich,POINT (14.621 48.044)
483,486.0,Sankt Veit an der Gölsen,2.0,0.0,0.0,0.0,2.0,48.044,15.671,1.0,gemeinde,,Niederösterreich,Niederösterreich,Südwestniederösterreich,SWNÖ,Südwestniederösterreich,POINT (15.671 48.044)
484,487.0,Sayda,1.0,0.0,0.0,0.0,1.0,50.712,13.419,1.0,gemeinde,,Böhmen,Böhmen,Nordwestböhmen,NWB,Nordwestböhmen,POINT (13.419 50.712)
485,488.0,Scharlinz,0.0,0.0,0.0,0.0,0.0,48.268,14.316,1.0,gemeinde,,Oberösterreich,Oberösterreich,Oberösterreich,OÖ,Oberösterreich,POINT (14.316 48.268)
486,489.0,Schlesien,0.0,0.0,0.0,0.0,0.0,,,2.0,region,,Schlesien,Schlesien,Schlesien,Sl,Schlesien,POINT (nan nan)
487,490.0,Schönau an der Triesting,0.0,0.0,0.0,0.0,0.0,48.172,16.615,3.0,gemeinde,,Niederösterreich,Niederösterreich,Nordostniederösterreich,NONÖ,Nordostniederösterreich,POINT (16.615 48.172)
488,491.0,Schönberg am Kamp,1.0,0.0,0.0,1.0,0.0,48.539,15.68,1.0,gemeinde,,Niederösterreich,Niederösterreich,Nordwestniederösterreich,NWNÖ,Nordwestniederösterreich,POINT (15.68 48.539)
489,492.0,Schwechat,1.0,0.0,0.0,0.0,1.0,48.141,16.477,1.0,gemeinde,,Niederösterreich,Niederösterreich,Südostniederösterreich,SONÖ,Südostniederösterreich,POINT (16.477 48.141)
490,493.0,Sebranice,1.0,0.0,0.0,0.0,1.0,49.497,16.575,1.0,gemeinde,,Mähren,Mähren,Brünner Teil,BT,Brünner Teil,POINT (16.575 49.497)
491,494.0,Seckau,24.0,0.0,0.0,24.0,0.0,47.275,14.786,1.0,gemeinde,,Steiermark,Steiermark,Nordsteiermark,NS,Nordsteiermark,POINT (14.786 47.275)
492,495.0,Sedlec,4.0,0.0,0.0,4.0,0.0,49.961,15.288,1.0,gemeinde,,Böhmen,Böhmen,Ostböhmen,OB,Ostböhmen,POINT (15.288 49.961)
493,496.0,Sedlisko,1.0,0.0,0.0,0.0,1.0,49.64,17.217,3.0,gemeinde,"Sedlisko u Olomouce, Horka nad Moravou",Mähren,Mähren,Olmützer Teil,OT,Olmützer Teil,POINT (17.217 49.64)
494,497.0,Seefeld,2.0,0.0,0.0,2.0,0.0,48.724,16.191,1.0,gemeinde,,Niederösterreich,Niederösterreich,Nordostniederösterreich,NONÖ,Nordostniederösterreich,POINT (16.191 48.724)
495,498.0,Seitenstetten,5.0,1.0,1.0,3.0,0.0,48.036,14.655,1.0,gemeinde,,Niederösterreich,Niederösterreich,Südwestniederösterreich,SWNÖ,Südwestniederösterreich,POINT (14.655 48.036)
496,499.0,Sereď,2.0,1.0,1.0,0.0,0.0,48.285,17.733,1.0,gemeinde,,Ungarn,Ungarn,Westungarn,WU,Westungarn,POINT (17.733 48.285)
497,500.0,Sewernaja Gora,2.0,1.0,1.0,0.0,0.0,54.76,20.55,1.0,gemeinde,,Ausland,Preussen,Preussen,Pre,Preussen,POINT (20.55 54.76)
498,501.0,Sitzenberg,3.0,1.0,1.0,1.0,0.0,48.321,15.809,1.0,gemeinde,Druhá je v Bavorsku,Niederösterreich,Niederösterreich,Südwestniederösterreich,SWNÖ,Südwestniederösterreich,POINT (15.809 48.321)
499,502.0,Skřípov,1.0,0.0,0.0,0.0,1.0,49.819,17.91,2.0,gemeinde,,Schlesien,Schlesien,Troppauer Teil,TT,Troppauer Teil,POINT (17.91 49.819)
