,certainty,name,geometry,geometry_source,locality,date,period,domestic
906,1.0,Vyšehrad,POINT (14.418 50.065),POINT (14.132 50.533),Litoměřice,1277-10-22,5,True
907,1.0,Litoměřice,POINT (14.132 50.533),POINT (14.132 50.533),Litoměřice,1277-10-22,5,True
908,1.0,Uherský Brod,POINT (17.647 49.025),POINT (17.252 49.596),Olomouc,1278-01-16,5,True
909,1.0,Kłodzko,POINT (16.661 50.435),POINT (16.61 49.19),Brno,1278-01-26,5,True
910,1.0,Frýdlant,POINT (15.08 50.921),POINT (14.41 50.09),Praha,1278-05-04,5,True
911,1.0,Frýdlant,POINT (15.08 50.921),POINT (14.41 50.09),Praha,1278-05-04,5,True
912,1.0,Trhové Sviny,POINT (14.639 48.842),POINT (14.41 50.09),Praha,1278-05-04,5,True
913,1.0,Most,POINT (13.636 50.503),POINT (14.41 50.09),Praha,1278-05-04,5,True
914,1.0,Sedlec,POINT (15.288 49.961),POINT (14.41 50.09),Praha,1278-07-11,5,True
915,2.0,ein Wald Bor zwischen Kolín und Čáslav,POINT (15.31 49.996),POINT (14.41 50.09),Praha,1278-07-11,5,True
