,certainty,name,geometry,geometry_source,locality,date,period,domestic
189,1.0,Praha,POINT (14.41 50.09),POINT (14.41 50.09),Praha,1257-03-15,2,True
190,1.0,Zlíchov,POINT (14.408 50.046),POINT (14.41 50.09),Praha,1257-03-15,2,True
191,2.0,Prag,POINT (nan nan),POINT (14.41 50.09),Praha,1257-03-15,2,True
192,1.0,Passau,POINT (13.469 48.575),POINT (14.286 48.306),Linz,1257-04-27,2,True
193,1.0,Lilienfeld,POINT (15.598 48.014),POINT (16.24 47.81),Wiener Neustadt,1257-06-12,2,True
194,1.0,Stratzing,POINT (15.607 48.45),POINT (16.24 47.81),Wiener Neustadt,1257-06-12,2,True
195,1.0,Lilienfeld,POINT (15.598 48.014),POINT (15.598 48.014),Lilienfeld,1257-07-28,2,True
196,1.0,Velehrad,POINT (17.395 49.105),POINT (13.39 49.934),Plasy,1257-12-03,2,True
197,1.0,Uherské Hradiště,POINT (17.46 49.07),POINT (13.39 49.934),Plasy,1257-12-03,2,True
198,1.0,Plasy,POINT (13.39 49.934),POINT (13.39 49.934),Plasy,1257-12-03,2,True
