,locality,from_date,to_date,days,domestic,geometry,no_activities,period1,period2,period3,period4,period5
284,Zvíkov,1273-02-17,1273-03-13,24,True,POINT (14.192 49.439),1,False,False,False,True,False
285,Milevsko,1273-03-14,1273-04-01,18,True,POINT (14.361 49.45),1,False,False,False,True,False
286,Praha,1273-04-05,1273-05-09,34,True,POINT (14.41 50.09),1,False,False,False,True,False
287,Zbraslav,1273-05-10,1273-06-03,24,True,POINT (14.394 49.976),1,False,False,False,True,False
288,Znojmo,1273-06-12,1273-06-24,12,True,POINT (16.05 48.86),2,False,False,False,True,False
289,Brno,1273-06-27,1273-07-08,11,True,POINT (16.61 49.19),1,False,False,False,True,False
290,Bratislava,1273-07-13,1273-07-26,13,False,POINT (17.103 48.142),1,False,False,False,True,False
291,Laa an der Thaya,1273-07-30,1273-08-07,8,True,POINT (16.384 48.728),1,False,False,False,True,False
292,Marchegg,1273-08-08,1273-08-10,2,True,POINT (16.891 48.257),1,False,False,False,True,False
293,Bratislava,1273-08-11,1273-08-21,10,False,POINT (17.103 48.142),1,False,False,False,True,False
294,Magyaróvár,1273-08-23,1273-09-12,20,False,POINT (17.264 47.873),1,False,False,False,True,False
295,Györ,1273-09-14,1273-09-27,13,False,POINT (17.635 47.688),1,False,False,False,True,False
296,Pannonhalma,1273-09-28,1273-09-28,0,False,POINT (17.755 47.549),1,False,False,False,True,False
297,Sopron,1273-10-03,1273-10-13,10,False,POINT (16.59 47.685),2,False,False,False,True,False
298,Krems an der Donau,1273-10-14,1273-11-19,36,True,POINT (15.62 48.41),1,False,False,False,True,False
299,Brno,1273-11-24,1273-12-31,37,True,POINT (16.61 49.19),2,False,False,False,True,False
300,Praha,1274-01-08,1274-01-08,0,True,POINT (14.41 50.09),1,False,False,False,True,False
301,Laa an der Thaya,1274-01-13,1274-02-03,21,True,POINT (16.384 48.728),1,False,False,False,True,False
302,Praha,1274-02-13,1274-03-14,29,True,POINT (14.41 50.09),1,False,False,False,True,False
303,Wien,1274-03-26,1274-04-04,9,True,POINT (16.388 48.221),1,False,False,False,True,False
304,Graz,1274-04-12,1274-04-25,13,True,POINT (15.45 47.067),6,False,False,False,True,False
305,Wien,1274-05-03,1274-05-20,17,True,POINT (16.388 48.221),6,False,False,False,True,False
306,Brno,1274-05-24,1274-06-11,18,True,POINT (16.61 49.19),1,False,False,False,True,False
307,Praha,1274-06-21,1274-09-21,92,True,POINT (14.41 50.09),3,False,False,False,True,False
308,Písek,1274-09-25,1274-10-31,36,True,POINT (14.148 49.309),2,False,False,False,True,False
309,Praha,1274-11-04,1274-11-28,24,True,POINT (14.41 50.09),3,False,False,False,True,False
310,Neuburg am Inn,1274-12-08,1274-12-17,9,True,POINT (13.405 48.518),1,False,False,False,True,False
311,Uherský Ostroh,1275-01-01,1275-01-14,13,True,POINT (17.39 48.986),1,False,False,False,True,False
312,Wien,1275-01-19,1275-02-11,23,True,POINT (16.388 48.221),5,False,False,False,True,False
313,Praha,1275-02-23,1275-03-23,28,True,POINT (14.41 50.09),6,False,False,False,True,False
314,Brno,1275-04-02,1275-04-28,26,True,POINT (16.61 49.19),1,False,False,False,True,False
315,Praha,1275-05-08,1275-06-02,25,True,POINT (14.41 50.09),3,False,False,False,True,False
316,Kamýk nad Vltavou,1275-06-05,1275-06-21,16,True,POINT (14.253 49.639),1,False,False,False,True,False
317,Wien,1275-07-02,1275-08-06,35,True,POINT (16.388 48.221),1,False,False,False,True,False
318,Veveří,1275-08-11,1275-08-30,19,True,POINT (16.462 49.257),1,False,False,False,True,False
319,Kamýk nad Vltavou,1275-09-01,1275-09-16,15,True,POINT (14.253 49.639),2,False,False,False,True,False
320,Brno,1275-09-26,1275-11-03,38,True,POINT (16.61 49.19),1,False,False,False,True,False
321,Praha,1275-11-13,1275-12-16,33,True,POINT (14.41 50.09),1,False,False,False,True,False
322,Křivoklát,1275-12-19,1276-01-12,24,True,POINT (13.872 50.038),1,False,False,False,True,False
323,Praha,1276-01-15,1276-03-23,68,True,POINT (14.41 50.09),5,False,False,False,True,False
324,Poděbrady,1276-03-26,1276-04-11,16,True,POINT (15.119 50.142),1,False,False,False,True,False
325,Brno,1276-04-19,1276-05-06,17,True,POINT (16.61 49.19),4,False,False,False,True,False
326,Praha,1276-05-16,1276-05-19,3,True,POINT (14.41 50.09),1,False,False,False,True,False
327,Znojmo,1276-05-27,1276-06-04,8,True,POINT (16.05 48.86),7,False,False,False,True,False
328,Přištpo,1276-06-06,1276-06-18,12,True,POINT (15.935 49.074),1,False,False,False,True,False
329,Freistadt,1276-06-25,1276-07-17,22,True,POINT (14.517 48.517),3,False,False,False,True,False
330,Praha,1276-07-25,1276-09-18,55,True,POINT (14.41 50.09),4,False,False,False,True,False
331,Freistadt,1276-09-26,1276-10-06,10,True,POINT (14.517 48.517),2,False,False,False,True,False
332,Zwettl,1276-10-09,1276-10-10,1,True,POINT (15.169 48.607),1,False,False,False,True,False
333,Drosendorf,1276-10-12,1276-10-22,10,True,POINT (15.622 48.866),1,False,False,False,True,False
334,Korneuburg,1276-10-26,1276-11-14,19,True,POINT (16.33 48.34),1,False,False,False,True,False
335,Kahlenberg (heute Leopoldberg),1276-11-15,1276-11-25,10,False,POINT (16.346 48.278),1,False,False,False,True,True
336,Wien,1276-11-26,1276-11-30,4,False,POINT (16.388 48.221),1,False,False,False,False,True
337,Praha,1276-12-12,1277-02-12,62,True,POINT (14.41 50.09),1,False,False,False,False,True
338,Brno,1277-02-22,1277-05-04,71,True,POINT (16.61 49.19),4,False,False,False,False,True
339,Jindřichův Hradec,1277-05-11,1277-05-17,6,True,POINT (15.003 49.144),1,False,False,False,False,True
340,Hradec Králové,1277-05-23,1277-05-26,3,True,POINT (15.833 50.209),1,False,False,False,False,True
341,Praha,1277-05-30,1277-06-06,7,True,POINT (14.41 50.09),3,False,False,False,False,True
342,Uničov,1277-06-16,1277-06-21,5,True,POINT (17.121 49.771),1,False,False,False,False,True
343,Hradec nad Moravicí,1277-06-25,1277-07-04,9,True,POINT (17.875 49.871),2,False,False,False,False,True
344,Wrocław,1277-07-11,1277-07-29,18,False,POINT (17.034 51.109),3,False,False,False,False,True
345,Hradec nad Moravicí,1277-08-05,1277-08-19,14,True,POINT (17.875 49.871),1,False,False,False,False,True
346,Opava,1277-08-20,1277-08-23,3,True,POINT (17.903 49.939),1,False,False,False,False,True
347,Praha,1277-09-04,1277-09-28,24,True,POINT (14.41 50.09),3,False,False,False,False,True
348,Litoměřice,1277-10-01,1277-10-22,21,True,POINT (14.132 50.533),1,False,False,False,False,True
349,Poděbrady,1277-10-26,1277-11-17,22,True,POINT (15.119 50.142),1,False,False,False,False,True
350,Opava,1277-11-29,1277-12-27,28,True,POINT (17.903 49.939),1,False,False,False,False,True
351,Olomouc,1277-12-31,1278-01-16,16,True,POINT (17.252 49.596),1,False,False,False,False,True
352,Brno,1278-01-19,1278-01-26,7,True,POINT (16.61 49.19),1,False,False,False,False,True
353,Praha,1278-02-05,1278-05-04,88,True,POINT (14.41 50.09),3,False,False,False,False,True
354,Brno,1278-05-14,1278-06-22,39,True,POINT (16.61 49.19),1,False,False,False,False,True
355,Praha,1278-06-27,1278-07-11,14,True,POINT (14.41 50.09),2,False,False,False,False,True
356,Drosendorf,1278-07-20,1278-08-03,14,False,POINT (15.622 48.866),1,False,False,False,False,True
357,Laa an der Thaya,1278-08-06,1278-08-14,8,False,POINT (16.384 48.728),1,False,False,False,False,True
